current rank,Manufacturer/Country,Computer/System Model,Name,where this supercomputer present,Cores	,        Rmax (PFlop/s),Rpeak (PFlop/s),Power (kW)
253,"Atipa Technology
                
                
                    United States","- Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P,",cascade,DOE/SC/Pacific Northwest National Laboratory,"194,616",2.54,3.39,"1,384"
254,"DELL EMC
                
                
                    United States","- PowerEdge XE8545, AMD EPYC 7713 64C 2GHz, NVIDIA A100 80GB​, Infiniband HDR200 dual rail,",Rattler,Dell Technologies HPC & AI Innovation Lab,"26,880",2.53,3.94,
255,"Atos
                
                
                    France","- bullx DLC 720, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR,",occigen2,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),"85,824",2.49,3.57,"1,430"
256,"Lenovo
                
                
                    China","ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet,",,Service Provider T,"61,440",2.49,4.92,
257,"HPE
                
                
                    United States","- Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ,",Excalibur,Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),"100,064",2.48,3.68,"1,466"
258,"NEC
                
                
                    Germany","- INTEL-HNS2600BPB, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path,",CLAIX (2018),Universitaet Aachen/RWTH - IT Center,"61,200",2.48,4.11,692
259,"DELL EMC
                
                
                    United States","- PowerEdge R6525/C6525, AMD EPYC 7742, AMD EPYC 7742 64C, Mellanox HDR Infiniband,",Expanse,UCSD/San Diego Supercomputer Center,"91,648",2.48,3.3,
260,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6242 16C 2.8GHz, NVIDIA Tesla V100, 100G Ethernet,",,Manufacturing Industry (O),"50,400",2.48,4.68,
261,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6242 16C 2.8GHz, NVIDIA Tesla V100, 100G Ethernet,",,Manufacturing Industry (O),"50,400",2.48,4.68,
262,"T-Platforms
                
                
                    Russia","- T-Platform A-Class Cluster, Xeon E5-2697v3 14C 2.6GHz,Intel Xeon Gold 6126, Infiniband FDR, Nvidia K40m/P-100,",Lomonosov 2,Moscow State University - Research Computing Center,"64,384",2.48,4.95,
263,"Liqid
                
                
                    United States","- Liqid Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Infiniband HDR,",Kay,Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC),"46,848",2.48,3.45,
264,"Lenovo
                
                
                    China","- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet,",B1,Service Provider T,"60,000",2.46,4.8,
265,"HPE
                
                
                    United States","- SGI ICE XA, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR,",Centennial,US Army Research Laboratory (ARL),"73,920",2.44,2.6,835
266,"Sugon
                
                
                    China","- Sugon TC4600, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR,",PAI-ASystem,China Meteorological Administration,"48,128",2.44,4,740
267,"Lenovo
                
                
                    China","- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet,",C1,Service Provider T,"59,200",2.43,4.74,
268,"HPE
                
                
                    United States","- HPE Cray EX425, AMD EPYC 7742 64C 2.25GHz, Slingshot-10,",Big Red 200,Indiana University,"84,480",2.43,3.04,
269,"Lenovo
                
                
                    China","ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet,",,DJIT Company,"115,200",2.43,4.24,
270,"Lenovo
                
                
                    China","- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet,",D1,Service Provider T,"58,800",2.42,4.7,
271,"Lenovo
                
                
                    China","ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet,",,Service Provider T,"113,600",2.4,4.18,
272,"Lenovo
                
                
                    China","- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet,",E1,Service Provider T,"58,000",2.39,4.64,
273,"Lenovo
                
                
                    China","ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet,",,Service Provider T,"58,560",2.38,4.68,
274,"Lenovo
                
                
                    China","ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet,",,Service Provider T,"112,000",2.37,4.12,
275,"Lenovo
                
                
                    Netherlands","- ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet,",B2F,Software Company MNED,"53,760",2.36,4.64,
276,"Lenovo
                
                
                    Netherlands","- ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet,",B2E,Software Company MNED,"53,760",2.36,4.64,
277,"Lenovo
                
                
                    Netherlands","- ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet,",B2B,Software Company MNED,"53,760",2.36,4.64,
278,"Lenovo
                
                
                    United States","- ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet,",B2D,Software Company MUS,"53,760",2.36,4.64,
279,"Lenovo
                
                
                    United States","- ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet,",B2C,Software Company MUS,"53,760",2.36,4.64,
280,"Lenovo
                
                
                    United States","- ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet,",B2A,Software Company MUS,"53,760",2.36,4.64,
281,"Nvidia
                
                
                    United States","- NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband,",NVIDIA DGX SuperPOD,NVIDIA Corporation,"19,840",2.36,2.81,90
282,"Lenovo
                
                
                    China","- ThinkSystem HR630X, Xeon Silver 4110 8C 2.1GHz, 10G Ethernet,",ZZ1,Service Provider T,"153,600",2.35,10.32,
283,"Lenovo
                
                
                    Ireland","- ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,",A12A,Software Company MIR,"69,120",2.35,4.64,
284,"Lenovo
                
                
                    Ireland","- ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,",A11A,Software Company MIR,"69,120",2.35,4.64,
285,"Lenovo
                
                
                    Norway","- ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,",A17A,Software Company MNY,"69,120",2.35,4.64,
286,"Lenovo
                
                
                    Switzerland","- ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,",A17A,Software Company MSW,"69,120",2.35,4.64,
287,"Lenovo
                
                
                    United States","- ThinkSystem C2397, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,",B1B,Software Company MUS,"69,120",2.35,4.64,
288,"Lenovo
                
                
                    United States","- ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,",A10A,Software Company MUS,"69,120",2.35,4.64,
289,"Lenovo
                
                
                    United States","- ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet,",A4A,Software Company MUS,"69,120",2.35,4.64,
290,"Huawei Technologies Co., Ltd.
                
                
                    Poland","- CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR,",Ares,Cyfronet,"37,824",2.34,3.51,487
291,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon 8260M 24C 2.4GHz, NVIDIA Tesla V100, 100G Ethernet,",,Internet Company,"48,160",2.34,4.37,
292,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon 8260M 24C 2.4GHz, NVIDIA Tesla V100, 100G Ethernet,",,Internet Company,"48,160",2.34,4.37,
293,"Lenovo
                
                
                    Germany","- ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, Mellanox HDR Infiniband,",HoreKa-Blue,Karlsruher Institut für Technologie (KIT),"45,752",2.33,3.51,495
