current rank,Manufacturer/Country,Computer/System Model,Name,where this supercomputer present,Cores	,        Rmax (PFlop/s),Rpeak (PFlop/s),Power (kW)
491,"Lenovo
                
                
                    United States","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) A11,Hosting Services,"57,600",1.65,2.12,
492,"Lenovo
                
                
                    United States","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) A10,Hosting Services,"57,600",1.65,2.12,
493,"Lenovo
                
                
                    United States","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) A9,Hosting Services,"57,600",1.65,2.12,
494,"Lenovo
                
                
                    United States","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) A8,Hosting Services,"57,600",1.65,2.12,
495,"Lenovo
                
                
                    United States","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) A7,Hosting Services,"57,600",1.65,2.12,
496,"Lenovo
                
                
                    United States","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) A6,Hosting Services,"57,600",1.65,2.12,
497,"Lenovo
                
                
                    United States","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) A4,Hosting Services,"57,600",1.65,2.12,
498,"Lenovo
                
                
                    United States","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) A3,Hosting Services,"57,600",1.65,2.12,
499,"Lenovo
                
                
                    United States","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) A2,Hosting Services,"57,600",1.65,2.12,
500,"Lenovo
                
                
                    United States","- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet,",Software Company (M) A1,Hosting Services,"57,600",1.65,2.12,
